Land,Landkreis,Gemeinde-schlüssel,Gemeinde,Schneelastzone,Fußnote(n),DC,ZIP,comments,,
RP,Ahrweiler,07131062,Ohlenhard,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131065,Pomster,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131066,Quiddelbach,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131068,Rech,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131069,Reifferscheid,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131070,Remagen,1,,07131,53424,covered by DC rule,,
RP,Ahrweiler,07131072,Rodder,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131073,Schalkenbach,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131074,Schuld,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131075,Senscheid,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131076,Sierscheid,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131077,Sinzig,1,,07131,53489,covered by DC rule,,
RP,Ahrweiler,07131079,Trierscheid,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131081,Waldorf,1,,07131,53498,covered by DC rule,,
RP,Ahrweiler,07131082,Wershofen,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131083,Wiesemscheid,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131084,Wimbach,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131085,Winnerath,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131086,Wirft,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131090,Grafschaft,1,,07131,53501,covered by DC rule,,
RP,Ahrweiler,07131201,Brenk,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131202,Burgbrohl,1,,07131,56659,covered by DC rule,,
RP,Ahrweiler,07131204,Galenberg,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131205,Glees,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131206,Hohenleimbach,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131208,Spessart,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131209,Wassenach,1,,07131,56653,covered by DC rule,,
RP,Ahrweiler,07131210,Wehr,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131211,Weibern,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131501,Dümpelfeld,2,,07131,,covered by DC rule,,
RP,Ahrweiler,07131502,Kempenich,2,,07131,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132001,Almersbach,2,,07132,,default zone 2,,
RP,Altenkirchen (Westerwald),07132002,Alsdorf,2a,,07132,57518,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132004,Bachenberg,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132005,Berzhausen,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132006,Betzdorf,2a,,07132,57518,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132007,Birkenbeul,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132008,Birken-Honigsessen,2a,,07132,57587,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132009,Birnbach,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132010,Bitzen,2a,,07132,57539,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132011,Mittelhof,2a,,07132,57537,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132012,Brachbach,2a,,07132,57555,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132013,Breitscheidt,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132014,Bruchertseifen,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132015,Bürdenbach,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132016,Burglahr,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132017,Busenhausen,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132018,Daaden,2a,,07132,57567,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132019,Derschen,2a,,07132,57520,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132020,Dickendorf,2a,,07132,57520,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132022,Eichelhardt,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132023,Eichen,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132024,Elben,2a,,07132,57580,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132025,Elkenroth,2a,,07132,57578,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132026,Emmerzhausen,2a,,07132,57520,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132027,Ersfeld,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132028,Etzbach,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132029,Eulenberg,1,,07132,57632,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132030,Fensdorf,2a,,07132,57580,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132031,Fiersbach,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132032,Flammersfeld,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132033,Fluterschen,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132034,Forst,2a,,07132,57537,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132035,Forstmehren,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132036,Friedewald,2a,,07132,57520,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132037,Friesenhagen,2a,,07132,51598,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132038,Fürthen,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132039,Gebhardshain,2a,,07132,57580,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132040,Gieleroth,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132041,Giershausen,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132042,Grünebach,2a,,07132,57520,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132043,Güllesheim,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132044,Hamm (Sieg),2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132045,Harbach,2a,,07132,57572,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132046,Hasselbach,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132047,Helmenzen,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132048,Helmeroth,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132049,Hemmelzen,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132050,Herdorf,2a,,07132,57562,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132051,Heupelzen,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132052,Hilgenroth,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132053,Hirz-Maulsbach,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132054,Hövels,2a,,07132,57537,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132055,Horhausen (Westerwald),2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132056,Idelberg,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132057,Ingelbach,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132058,Isert,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132059,Kausen,2a,,07132,57520,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132060,Kescheid,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132061,Kettenhausen,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132062,Kircheib,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132063,Kirchen (Sieg),2a,,07132,57548,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132064,Kraam,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132065,Krunkel,1,,07132,56593,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132066,Malberg,2a,,07132,57629,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132067,Mammelzen,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132068,Mauden,2a,,07132,57520,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132069,Mehren,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132070,Michelbach (Westerwald),2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132071,Molzhain,2a,,07132,57520,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132072,Mudersbach,2a,,07132,57555,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132073,Nauroth,2a,,07132,57583,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132074,Neitersen,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132075,Niederdreisbach,2a,,07132,57520,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132076,Niederfischbach,2a,,07132,57572,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132077,Niederirsen,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132078,Niedersteinebach,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132079,Nisterberg,2a,,07132,56472,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132080,Katzwinkel (Sieg),2a,,07132,57581,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132081,Obererbach (Westerwald),2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132082,Oberirsen,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132083,Oberlahr,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132084,Obernau,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132085,Obersteinebach,1,,07132,56593,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132086,Oberwambach,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132087,Ölsen,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132088,Orfgen,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132089,Peterslahr,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132090,Pleckhausen,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132091,Pracht,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132092,Racksen,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132093,Reiferscheid,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132094,Rettersen,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132095,Rosenheim (Lkr. Altenkirchen),2a,,07132,57520,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132096,Roth,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132097,Rott,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132098,Scheuerfeld,2a,,07132,57584,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132099,Schöneberg,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132100,Schürdt,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132101,Schutzbach,2a,,07132,57520,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132102,Seelbach bei Hamm (Sieg),2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132103,Seelbach (Westerwald),2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132104,Seifen,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132105,Selbach (Sieg),2a,,07132,57537,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132106,Sörth,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132107,Steinebach/Sieg,2a,,07132,57520,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132108,Steineroth,2a,,07132,57518,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132109,Stürzelbach,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132110,Volkerzen,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132111,Wallmenroth,2a,,07132,57584,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132112,Walterschen,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132113,Weitefeld,2a,,07132,57586,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132114,Werkhausen,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132115,Weyerbusch,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132116,Willroth,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132117,Wissen,2a,,07132,57537,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132118,Wölmersen,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132119,Ziegenhain,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132201,Berod bei Hachenburg,2,,07132,,covered by DC rule,,
RP,Altenkirchen (Westerwald),07132501,Altenkirchen (Westerwald),2,,07132,,covered by DC rule,,
RP,Bad Kreuznach,alle,alle,2,,07133,,,,
RP,Birkenfeld,alle,alle,2,,07134,,,,
RP,Cochem-Zell,alle,alle,2,,07135,,,,
RP,Mayen-Koblenz,07137001,Acht,2,,07137,,default zone is 2,,
RP,Mayen-Koblenz,07137003,Andernach,1,,07137,56626,covered by DC rule,,
RP,Mayen-Koblenz,07137004,Anschau,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137006,Arft,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137007,Baar,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137008,Bell,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137011,Bermel,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137014,Boos,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137019,Ditscheid,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137023,Einig,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137025,Ettringen,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137027,Gappenach,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137029,Gering,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137030,Gierschnach,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137034,Hausten,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137035,Herresbach,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137036,Hirten,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137041,Kalt,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137043,Kehrig,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137048,Kerben,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137049,Kirchwald,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137053,Kollig,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137055,Kottenheim,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137056,Kretz,1,,07137,56630,covered by DC rule,,
RP,Mayen-Koblenz,07137057,Kruft,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137060,Langenfeld,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137061,Langscheid,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137063,Lind,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137065,Lonnig,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137066,Luxem,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137068,Mayen,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137069,Mendig,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137070,Mertloch,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137074,Monreal,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137077,Münk,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137079,Nachtsheim,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137080,Naunheim,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137081,Nickenich,1,,07137,56645,covered by DC rule,,
RP,Mayen-Koblenz,07137086,Ochtendung,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137087,Pillig,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137088,Plaidt,1,,07137,56637,covered by DC rule,,
RP,Mayen-Koblenz,07137089,Polch,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137092,Reudelsterz,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137093,Rieden,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137095,Rüber,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137096,Saffig,1,,07137,56648,covered by DC rule,,
RP,Mayen-Koblenz,07137097,Sankt Johann,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137099,Siebenbach,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137101,Thür,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137102,Trimbs,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137105,Virneburg,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137106,Volkesfeld,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137110,Weiler,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137112,Welling,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137113,Welschenbach,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137114,Wierschem,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137201,Alken,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137202,Bassenheim,1,,07137,56220,covered by DC rule,,
RP,Mayen-Koblenz,07137203,Bendorf,1,,07137,56170,covered by DC rule,,
RP,Mayen-Koblenz,07137204,Brey,1,,07137,56321,covered by DC rule,,
RP,Mayen-Koblenz,07137205,Brodenbach,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137206,Burgen,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137207,Dieblich,1,,07137,56332,covered by DC rule,,
RP,Mayen-Koblenz,07137208,Hatzenport,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137209,Kaltenengers,1,,07137,56220,covered by DC rule,,
RP,Mayen-Koblenz,07137211,Kettig,1,,07137,56220,covered by DC rule,,
RP,Mayen-Koblenz,07137212,Kobern-Gondorf,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137214,Löf,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137215,Macken,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137216,Mülheim-Kärlich,1,,07137,56218,covered by DC rule,,
RP,Mayen-Koblenz,07137217,Niederfell,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137218,Niederwerth,1,,07137,56179,covered by DC rule,,
RP,Mayen-Koblenz,07137219,Nörtershausen,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137220,Oberfell,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137221,Rhens,1,,07137,56321-56323,covered by DC rule,,
RP,Mayen-Koblenz,07137222,Sankt Sebastian,1,,07137,56220,covered by DC rule,,
RP,Mayen-Koblenz,07137223,Spay,1,,07137,56322,covered by DC rule,,
RP,Mayen-Koblenz,07137224,Urbar,1,,07137,56182,covered by DC rule,,
RP,Mayen-Koblenz,07137225,Urmitz,1,,07137,56220,covered by DC rule,,
RP,Mayen-Koblenz,07137226,Vallendar,1,,07137,56179,covered by DC rule,,
RP,Mayen-Koblenz,07137227,Waldesch,1,,07137,56323,covered by DC rule,,
RP,Mayen-Koblenz,07137228,Weißenthurm,1,,07137,56575,covered by DC rule,,
RP,Mayen-Koblenz,07137229,Weitersburg,1,,07137,56191,covered by DC rule,,
RP,Mayen-Koblenz,07137230,Winningen,1,,07137,56333,covered by DC rule,,
RP,Mayen-Koblenz,07137231,Wolken,1,,07137,56332,covered by DC rule,,
RP,Mayen-Koblenz,07137501,Münstermaifeld,2,,07137,,covered by DC rule,,
RP,Mayen-Koblenz,07137504,Lehmen,2,,07137,,covered by DC rule,,
RP,Neuwied,07138002,Anhausen,1,,07138,,default zone is 1,,
RP,Neuwied,07138003,Asbach,2,,07138,53567,covered by DC rule,,
RP,Neuwied,07138004,Bad Hönningen,1,,07138,,covered by DC rule,,
RP,Neuwied,07138005,Bonefeld,1,,07138,,covered by DC rule,,
RP,Neuwied,07138006,Breitscheid,1,,07138,,covered by DC rule,,
RP,Neuwied,07138007,Hausen (Wied),1,,07138,,covered by DC rule,,
RP,Neuwied,07138008,Bruchhausen,1,,07138,,covered by DC rule,,
RP,Neuwied,07138009,Dattenberg,1,,07138,,covered by DC rule,,
RP,Neuwied,07138010,Datzeroth,1,,07138,,covered by DC rule,,
RP,Neuwied,07138011,Dernbach,2,,07138,56307,covered by DC rule,,
RP,Neuwied,07138012,Dierdorf,2,,07138,56269,covered by DC rule,,
RP,Neuwied,07138013,Döttesfeld,2,,07138,56305,covered by DC rule,,
RP,Neuwied,07138014,Dürrholz,2,,07138,56307,covered by DC rule,,
RP,Neuwied,07138015,Ehlscheid,1,,07138,,covered by DC rule,,
RP,Neuwied,07138019,Erpel,1,,07138,,covered by DC rule,,
RP,Neuwied,07138023,Großmaischeid,2,,07138,56276,covered by DC rule,,
RP,Neuwied,07138024,Hammerstein,1,,07138,,covered by DC rule,,
RP,Neuwied,07138025,Hanroth,2,,07138,56316,covered by DC rule,,
RP,Neuwied,07138026,Hardert,1,,07138,,covered by DC rule,,
RP,Neuwied,07138027,Harschbach,2,,07138,56307,covered by DC rule,,
RP,Neuwied,07138030,Hümmerich,1,,07138,,covered by DC rule,,
RP,Neuwied,07138031,Isenburg,1,,07138,,covered by DC rule,,
RP,Neuwied,07138034,Kleinmaischeid,2,,07138,56271,covered by DC rule,,
RP,Neuwied,07138036,Kurtscheid,1,,07138,,covered by DC rule,,
RP,Neuwied,07138037,Leubsdorf,1,,07138,,covered by DC rule,,
RP,Neuwied,07138038,Leutesdorf,1,,07138,,covered by DC rule,,
RP,Neuwied,07138040,Linkenbach,2,,07138,56317,covered by DC rule,,
RP,Neuwied,07138041,Linz am Rhein,1,,07138,,covered by DC rule,,
RP,Neuwied,07138042,Meinborn,1,,07138,,covered by DC rule,,
RP,Neuwied,07138043,Melsbach,1,,07138,,covered by DC rule,,
RP,Neuwied,07138044,Neustadt (Wied),1,,07138,,covered by DC rule,,
RP,Neuwied,07138045,Neuwied,1,,07138,,covered by DC rule,,
RP,Neuwied,07138047,Niederbreitbach,1,,07138,,covered by DC rule,,
RP,Neuwied,07138048,Niederhofen,2,,07138,56316,covered by DC rule,,
RP,Neuwied,07138050,Niederwambach,2,,07138,57614,covered by DC rule,,
RP,Neuwied,07138052,Oberdreis,2,,07138,57639,covered by DC rule,,
RP,Neuwied,07138053,Oberhonnefeld-Gierend,1,,07138,,covered by DC rule,,
RP,Neuwied,07138054,Oberraden,1,,07138,,covered by DC rule,,
RP,Neuwied,07138055,Ockenfels,1,,07138,,covered by DC rule,,
RP,Neuwied,07138057,Puderbach,2,,07138,56305,covered by DC rule,,
RP,Neuwied,07138058,Ratzert,2,,07138,57614,covered by DC rule,,
RP,Neuwied,07138059,Raubach,2,,07138,56316,covered by DC rule,,
RP,Neuwied,07138061,Rengsdorf,1,,07138,,covered by DC rule,,
RP,Neuwied,07138062,Rheinbreitbach,1,,07138,,covered by DC rule,,
RP,Neuwied,07138063,Rheinbrohl,1,,07138,,covered by DC rule,,
RP,Neuwied,07138064,Rodenbach bei Puderbach,2,,07138,57639,covered by DC rule,,
